id;external_code;name;name_so;database_version_id;id_regional_energy_system;id_regional_district
9020;4de433b3-e98d-5804-9f2f-7b32293c3a16;ГПЭС Вынгапуровского ГПЗ;;22;883;991
8716;745e7b7f-cf99-5655-8f7b-b1bb5675099b;ГПЭС Карабаш-1;;22;888;987
8714;521080d0-f27d-5264-99aa-918d47c16ec0;ГПЭС КМЭЗ;;22;888;987
8646;fbea1d9b-8b73-5ed9-940b-2c69177bc150;ГПЭС КНС-2;;22;883;986
8718;aeb661e2-99be-599f-80e6-5ae7f30b8abe;ГПЭС Михеевского ГОКа;;22;888;987
8191;b4538062-27b0-5121-93ab-dc15924b89d6;ГПЭС Овощевод;;22;820;913
8664;c6f1650e-8d93-5956-9eff-51ebbc2fdcf1;ГПЭС Омбинского месторождения;;22;883;986
8721;64eb97ba-1b20-5809-8982-0665f8cbd871;ГПЭС Первомайская;;22;888;987
8657;fc87ae17-5cbe-5359-b4f3-f1049a419d55;ГПЭС Соровского месторождения;;22;883;986
8668;e91e4204-ee36-5ec6-859a-b0ee070d12c2;ГПЭС Тегусская;;22;883;982
8717;ce42e551-0bfc-5603-b296-4bd08d6e43a0;ГПЭС Томинская;;22;888;987
8188;6a1c18bd-f029-5209-859f-a8a31acbccba;ГПЭС ТПП «Волгограднефтегаз»;;22;820;913
8194;eb7e7539-24da-5636-b3fd-affbbabaa417;ГПЭС Химволокно;;22;820;913
8720;f4749e8c-9912-5f51-bee9-8b28f8c7ae13;ГПЭС ЧТПЗ;;22;888;987
8665;f616a113-d03a-540a-b36b-49aadfdddfca;ГПЭС Энергокомплекса Аггреко Евразия;;22;883;986
8709;689a8803-9808-5030-aca3-d57d089c1d4c;ГПЭС Энергоцентр г. Снежинск;;22;888;987
8088;e7f88e9b-fe8c-5e84-912e-cd08d6d95b2e;ГПЭЦМИ Кочевненского месторождения;;22;872;970
7833;cf7d5b1d-e53e-5c8e-9076-5208387a1201;ГТ ТЭЦ 123 Авиационный ремонтный завод;;22;847;942
7784;b8294cee-1b00-53dc-bacd-a2e4593b897c;ГТ ТЭЦ Балтика – СПб;;22;824;971
7922;a6d328fa-121d-5af8-ae0d-bb061f568ad9;ГТРС НЛМК;;22;842;934
8470;6fa69e9e-8b37-544d-99a1-d5a29c7e57dc;ГТУ совхоза «Алексеевский»;;22;856;953
8308;7c2e207a-b2f6-5b69-a3b9-773939829404;ГТУ ТЭС ООО «РН-Туапсинский НПЗ»;;22;838;929
9017;7ac18b71-d63f-5ed2-af3f-3458d9429a74;ГТЭС-15 «Песцовая»;;22;883;991
8548;b7b89eda-2375-5890-b64b-b676268ceb53;ГТЭС «Ильичевская»;;22;853;948
8033;04943113-2206-5d64-80fe-2b6716d5bb95;ГТЭС «Сатурн» (ГТЭС-12 МВт);;22;892;992
8613;df4bc615-3cf4-541b-b8fc-f3776ae0b97d;ГТЭС №2 Лянторского месторождения;;22;883;986
8130;5a549ef4-eeaa-51f3-9835-b26f2a1b4ca5;ГТЭС Аммоний;;22;868;965
8610;39f73f4a-4465-57e1-998c-2dd6ae7d293a;ГТЭС Биттемского месторождения;;22;883;986
8544;2bab9f8e-b828-508a-bce8-f2288a33b80f;ГТЭС БКПРУ-4 ПАО «Уралкалий»;;22;853;948
8607;f3d0b857-4a46-5e84-ad51-a873231acc89;ГТЭС Верхненадымского месторождения;;22;883;986
8615;f6bbfa14-6c26-5e85-9ff2-64afb06fbbb1;ГТЭС Западно-Камынского месторождения;;22;883;986
8634;370d2609-59cd-5042-bda7-d75c20da6abe;ГТЭС Западно-Малобалыкского месторождения;;22;883;986
8648;7630a464-ea14-57ba-952d-ed27db3c6831;ГТЭС Западно-Салымская;;22;883;986
8605;011ae130-d169-5902-98dd-02a5d67e3674;ГТЭС Западно-Чигоринского месторождения;;22;883;986
8608;e272c502-15fe-5f6f-be72-8b362c9901a8;ГТЭС Конитлорского месторождения;;22;883;986
8611;e04c379d-1d62-57d3-8faa-8e32f1b4ecd5;ГТЭС Лукъявинского месторождения;;22;883;986
8616;95db56eb-2b72-5964-bf23-79239f29d53d;ГТЭС Мурьяунского месторождения;;22;883;986
8619;311c39d9-1c24-5dd7-9e5c-e27024f8c803;ГТЭС Рогожниковсковского месторождения;;22;883;986
8609;9ae73215-7311-5f5d-bc66-d9adc65476ff;ГТЭС Русскинского месторождения;;22;883;986
8618;ff6092bf-a4bc-514f-8952-a3fcc2ceb5bc;ГТЭС Северо-Лабатьюганского месторождения;;22;883;986
8547;ba47866b-6354-5ff0-bd28-92a521fe06e2;ГТЭС Сибур-Химпром;;22;853;948
8669;0f4fa97c-5f0a-5b38-aa4e-7ea7ec077458;ГТЭС Тегусская;;22;883;982
8606;2c3ea1df-0d85-5452-859e-6a220444648e;ГТЭС Тромъеганского месторождения;;22;883;986
8667;2692a46c-a2e7-5d00-a527-cac2095e3f29;ГТЭС Тямкинская;;22;883;982
8630;408a1315-87a3-5314-8540-b21feaca9fb4;ГТЭС Федоровского месторождения;;22;883;986
8658;3a92df3c-464b-54ae-9064-1feb3d50ef08;ГТЭС Южно-Нюрымского месторождения;;22;883;982
8604;37bd8a7c-06d7-5289-95c4-1ab843679490;ГТЭС Южно-Приобская;;22;883;986
8617;b16ea466-5495-5815-8b3d-8c6974dc306e;ГТЭС Юкъяунского месторождения;;22;883;986
9019;ca53cce1-f073-5856-8500-022cc7bad3b9;ГТЭС Юрхаровского НГКМ;;22;883;991
8620;fe08a2d2-5bfa-564a-9c61-02d9037ab383;ГТЭС№2 Рогожниковсковского месторождения;;22;883;986
8133;6ec95095-77d6-5c42-87b0-bcb5713e947e;ГТЭУ-18 АО «КМПО»;;22;868;965
8412;7e5583d9-90fb-5a16-9b62-e6d4c6a96e30;ЗАО «Южная Энергетическая компания» (Лермонтовская ТЭЦ);;22;877;977
8622;c5131f40-1ce6-5c10-b56a-784654164cac;Западно-Сахалинская ГПЭС;;22;883;986
8333;d287ef14-b6e3-53e4-8eec-e0d0bfd8ac3c;Индустриальный ГПЭС;;22;838;929
8207;685402ab-b0df-5c1b-a929-285a012afde2;Карбоновая ТЭЦ;;22;820;913
7890;660089bf-2355-57a4-8812-b946f17fc3c3;КБК энерго;;22;832;923
8614;36126499-6e47-5ab8-abc6-4d24270bcd77;Конитлорская ГТЭС-2;;22;883;986
8002;7c10da8c-1af6-5a23-ab8d-1373c69cf3e1;Котовская ТЭЦ-1;;22;879;978
8117;da1187f1-b66d-563a-b6cf-a3d1b5d1886d;Лемаевская ПГУ;;22;868;965
8693;1846fc69-d2d6-55c5-9049-0af2df242293;Магнитогорская ТЭЦ;;22;888;987
8696;8b25321d-2b63-5b61-8ceb-7dafcedffa0d;Магнитогорская ЦЭС;;22;888;987
8316;f0709469-a03e-5e5a-9c85-f17a8f527f14;Металлургическая ГПЭС;;22;838;929
7946;ad47a079-377a-599e-8bb7-00791534e2bc;Мини-ТЭС «Курьяново»;;22;823;937
7942;1aef53e0-183d-5b96-a1d7-3e6474621b4a;Мини-ТЭС Люберцы;;22;823;937
8135;444cd5b0-0e43-5f2a-8829-3743092d770b;Мини-ТЭС ООО «ТК «Майский»;;22;868;965
