numb1120	v	year	y	snk	sntp	bk	btp	snbas	Ksn	bbas	Kh
329	0	2023	179.174285077436	3.12112804339547	0.698306413970735	257.768405825588	257.768405825588	0	0	0	0
330	0	2023	178.950845454545	6.4	0.377187328587388	298.7	298.7	0	0	0	0
332	0	2023	0	7.01584518946324	0	373.357398237736	0				
340	0	2023	371.397259643918	8.22907832693979	0.811681758269461	440.448916835423	318.240318581872	0	0	0	0
343	0	2023	406.927462374384	7.88678223614138	0.83176886408631	421.456563925835	289.599222633954	0	0	0	0
346	0	2023	505.845031914484	5.0781720494704	0.888369387275423	369.196213040368	253.445732577906	0	0	0	0
347	0	2023	313.732489796649	4.41389596983891	0.86827609947926	426.132998374977	269.379389551331	0	0	0	0
350	0	2023	124.978177727784	13.997237120104	0.800016252234682	156.221432199086	156.221432199086	0	0	0	0
352	0	2023	518.919016438915	5.23328412444381	0.850372022643195	332.408158378131	248.692087876816	0	0	0	0
354	0	2023	204.081087824351	9.99958840542148	0.900004115945785	450	450	0	0	0	0
355	0	2023	112.451481928904	6.50553556139525	0.757228067495683	501.904402068505	362.341708063772	0	0	0	0
357	0	2023	535.699711816086	6.49253301179804	0.867613856993277	378.619099184414	273.57399979954	0	0	0	0
358	0	2023	558.916708701842	9.13476541520122	0.830037471734196	568.232752492585	444.545618507924	0	0	0	0
362	0	2023	547.736127821658	6.61661505707368	0.855607430770193	410.896991589533	296.802775044712	0	0	0	0
363	0	2023	459.781117055552	7.06621803601726	0.842309645983506	427.985620547698	315.57297005317	0	0	0	0
847	0	2023	574.428010899482	9.78628948594381	0.75062354919356	471.111884332236	368.666594648543	0	0	0	0
849	0	2023	0	3.86434364793926	0	198.740585579295	0	0	0	0	0
1094	0	2023	1321.76542050056	3.42490391191575	0.943394338330344	224.76883462957	175.592979011015	0	0	0	0
1095	0	2023	366.69118392594	5.74727136851364	0.840977317937518	459.02218320908	336.071387875039	0	0	0	0
1205	0	2023	573.836438453873	6.03725912350314	0.813459031210936	357.847933914274	255.861303100761	0	0	0	0
1231	0	2023	976.3813195848	7.79303494350931	0.901476026768633	280.631730630442	280.631730630442	0	0	0	0
1245	0	2023	185.019948553389	1.49913557455389	0.943931627340455	350.590329620743	350.590329620743	0	0	0	0
1266	0	2023	0		0		0	0	0	0	0
1295	0	2023	1090.58102383032	2.60861457846919	0.913680148776982	237.604999190591	169.125167678982	0	0	0	0
1296	0	2023	291.61840931098	3.81771574205785	0.781345280198446	384.17035999668	265.273477317955	0	0	0	0
1297	0	2023	0	4.82864057912713	0	199.320526393601	0	0	0	0	0
1298	0	2023	2731.91291317195	4.19469688290674	0.939606583219126	220.475756568851	111.756508786162	0	0	0	0
1312	0	2023	921.909640522517	1.85120344498023	0.942578514820913	271.234512026642	222.056429559543	0	0	0	0
1437	0	2023	100.79041083855	3.83971662314816	0.618160515287085	385.109128428255	299.60307967456	0	0	0	0
1439	0	2023	240.931923185603	3.1875764377111	0.950205186333474	61.4646262492768	-1.94731490956279	0	0	0	0
1440	0	2023	187.560902017619	2.74532556238297	0.903183891980274	434.80127062065	434.80127062065	0	0	0	0
1441	0	2023	160.042341091555	0.603195540274551	0.849200899402392	165.790510098436	165.790510098436	0	0	0	0
1442	0	2023	123.427700901358	0.559995474368469	0.860000009350478	195.348832910813	195.348832910813	0	0	0	0
1571	0	2023	0	2.68482850592625	0	127.530228575541	0	0	0	0	0
1580	0	2023	0	1.8314666456375	0	1051.19664799265	0	0	0	0	0
1588	0	2023	609.152676455811	1.51663508959227	0.97197870637286	254.420774124316	254.420774124316	0	0	0	0
1594	0	2023	4629.42311320388	0.957762430201277	0.978976110274052	483.554976274162	374.222339537918	0	0	0	0
1595	0	2023	0	5.72639746745876	0.942736025325412	288.874236060044	288.874236060044	0	0	0	0
1684	0	2023	397.485802780718	5.71424731393796	0.844585069824263	285.525555715424	285.525555715424	0	0	0	0
1751	0	2023	1347.05676647668	4.35203150430591	0.937114132536851	252.81805362273	173.678436658001	0	0	0	0
1840	0	2023	385.647199103021	2.78845502860385	0.897236189409774	292.350380173964	199.021285221424	0	0	0	0
2072	0	2023	0	4.5	0	460	0	0	0	0	0
3087	0	2023	88.1705024370427	1.22655207224062	0.87734752522284	234.185111405157	234.185111405157	0	0	0	0
3089	0	2023	0	2.79372213589117	0	199.329763826045	0	0	0	0	0
3132	0	2023	0		0		0	0	0	0	0
3155	0	2023	996.294930689587	2.98375549644226	0.947860497803969	221.503293170143	221.503293170143	0	0	0	0
3170	0	2023	0	6.29782620392122	0	349.478990736509	0	0	0	0	0
3171	0	2023	1270.13043999651	6.00824717757224	0.938609446981617	264.030795972869	264.030795972869	0	0	0	0
3176	0	2023	0	5.2	0	269.614984391259	0	0	0	0	0
3184	0	2023	0	3.19801577449791	0	278.414459288204	0	0	0	0	0
3185	0	2023	0	2.40285546070062	0	343.18333285702	0	0	0	0	0
3203	0	2023	0	10.6095232400899	0	255.209930996481	0	0	0	0	0
3227	0	2023	0	2	0	370	0	0	0	0	0
3228	0	2023	1266.33180705771	3.25212546269238	0.955523397623222	319.702262824715	319.702262824715	0	0	0	0
99	0	2024	449.674136603954	7.71040369888632	0.818431517576776	397.819869627907	294.695771465952	0	0	0	0
100	0	2024	291.86340844473	6.05577144275413	0.824308107302071	416.64609481805	302.83687409912	0	0	0	0
102	0	2024	518.765175657122	5.92366105591933	0.848211981704145	404.234053298455	283.944832488004	0	0	0	0
109	0	2024	191.668471992278	1.94298848381614	0.829562322335166	339.085174335788	339.085174335788	0	0	0	0
127	0	2024	0		0		0	0	0	0	0
299	0	2024	295.634733623401	4.61148275099514	0.801148894658311	466.708110351222	373.124712418873	0	0	0	0
301	0	2024	204.992519638341	10.6728589594737	0.7551146208579	608.868004181444	492.480875347761	0	0	0	0
304	0	2024	314.798298553498	7.06303989736174	0.832245389222758	440.82867487071	348.694352776705	0	0	0	0
305	0	2024	523.40277365587	6.81545457063539	0.848432326214494	400.347619280023	307.024354026084	0	0	0	0
310	0	2024	302.109252642498	4.63505315050457	0.753891843772676	371.261584869714	371.261584869714	0	0	0	0
312	0	2024	419.357656709312	8.04887628625077	0.783279217222693	467.023359096178	367.395794815691	0	0	0	0
315	0	2024	439.124511778685	7.96114597985668	0.811941334094003	405.593448374641	303.762947772111	0	0	0	0
318	0	2024	643.044771631388	9.71557560917359	0.784422575994626	553.121708301043	427.240257201967	0	0	0	0
319	0	2024	564.439162318439	6.73911460412329	0.837041635136895	378.735902494636	267.824260080738	0	0	0	0
323	0	2024	452.136149023667	6.51134325809114	0.82370245254675	376.25867732899	273.003106718874	0	0	0	0
325	0	2024	101.951120297734	3.72025642290615	0.425703841547518	235.91423427986	146.492782279822	0	0	0	0
327	0	2024	586.740346763784	6.91518435052201	0.854277639378213	441.212448565756	336.564159897691	0	0	0	0
328	0	2024	539.779414869178	6.02945423408792	0.85986618861758	370.933392576502	257.363136985731	0	0	0	0
329	0	2024	175.8175985724	4.50893091251106	0.694424949184917	381.786802942677	381.786802942677	0	0	0	0
330	0	2024	167.578181670984	5.87083874556464	0.420191893844305	232.922073293277	232.922073293277	0	0	0	0
332	0	2024	0	6.98449968453668	0	375.726452024517	0	0	0	0	0
340	0	2024	346.186797735776	8.04200263945311	0.812594775237928	442.04947357848	317.568780326135	0	0	0	0
343	0	2024	420.571053305883	7.96692687241873	0.823100802901091	425.177106596261	293.340350877652	0	0	0	0
346	0	2024	509.12420748868	5.13101897001234	0.887149732878729	373.876486669507	257.959203160256	0	0	0	0
347	0	2024	313.075821458716	4.08550173580592	0.866815579047189	429.388996804668	273.666531629595	0	0	0	0
350	0	2024	0		0		0	0	0	0	0
352	0	2024	508.615436658204	4.99163880027013	0.852570089542301	334.090222503051	249.179625225108	0	0	0	0
355	0	2024	114.621447071766	6.21623791864981	0.76595662854416	532.53145946172	392.47385958626	0	0	0	0
357	0	2024	516.513450988389	6.4039066028947	0.86754025466345	373.052395807955	268.094069290766	0	0	0	0
358	0	2024	593.873016259964	9.94126541964213	0.82883828022755	599.77870855542	475.551922761623	0	0	0	0
362	0	2024	556.063313347363	6.70238727899004	0.856548977729825	411.107025867825	296.703207165225	0	0	0	0
363	0	2024	456.828577184768	7.20431542045921	0.838319916792829	428.869536652578	316.120388406122	0	0	0	0
433	0	2024	0	4.04518443537244	0	252.577869330158	0	0	0	0	0
847	0	2024	598.823542156406	10.594599315218	0.764707793164257	475.445697467725	371.094639933983	0	0	0	0
849	0	2024	0	4.00266316987604	0	200.212570793743	0	0	0	0	0
