NUMB1120	YearN	H	HFIX	NUST	OES
1266	2025	7200	1	2	3
1269	2025	8400	1	170	2
1272	2025	0.5	1	16	2
1274	2025	8342	1	144.8	6
1310	2025	4380	1	53	2
1321	2025	1000	1	294	4
1323	2025	1600	1	6	5
1325	2025	8233	1	18	6
1327	2025	0	1	2.1	2
1328	2025	6030	1	22.9	2
1333	2025	6150	1	12	1
1335	2025	5860	1	60	1
1337	2025	3830	1	9.75	4
1341	2025	0.05	1	90	2
1353	2025	1000	1	2.6	5
1366	2025	6070	1	75	1
1437	2025	3000	1	30	3
1439	2025	7719	1	49	3
1443	2025	3943	1	10	6
1478	2025	4500	1	8.6	1
1518	2025	0.05	1	64.8	2
1561	2025	815	1	4	4
1562	2025	4800	1	2.1	4
1571	2025	2840	1	28	3
1575	2025	800	1	12	6
1580	2025	420	1	5	3
1587	2025	6500	1	62	9
1588	2025	8630	1	67.259	3
1593	2025	0	1	24	6
1595	2025	2875	1	73	3
1597	2025	7000	1	24.9	5
1758	2025	1800	1	106	5
1759	2025	8200	1	607.62	5
1761	2025	1200	1	36.9	5
1762	2025	2300	1	10	5
1763	2025	8000	1	54.672	5
1766	2025	6800	1	24	5
1770	2025	8000	1	315	5
1771	2025	5800	1	131.908	5
1814	2025	3770	1	19.9	5
1817	2025	600	1	25	9
1820	2025	0	1	110	2
1826	2025	0	1	46.2	7
1832	2025	1255	1	18	2
1836	2025	1700	1	7.5	1
1837	2025	3600	1	8.202	4
1841	2025	3069	1	9.5	6
1842	2025	0	1	18	6
1851	2025	4019	1	13.5	6
1854	2025	2966	1	349	6
1865	2025	5300	1	3.5	5
1891	2025	935	1	25	6
1938	2025	10000	1	24	5
1950	2025	50	1	17.3	6
1952	2025	4000	1	18.4	5
2053	2025	600	1	5	9
2066	2025	8000	1	106.5	5
2070	2025	0	1	139.46	7
2072	2025	80	1	2.166	3
2073	2025	500	1	12	1
2074	2025	100	1	9	1
2075	2025	2	1	9	1
2077	2025	325	1	15.6	6
2084	2025	7600	1	72	5
2088	2025	8940	1	150	2
3003	2025	2200	1	21	1
3007	2025	7543	1	6	4
3011	2025	7335	1	206.4	6
3014	2025	3720	1	40	2
3015	2025	1000	1	3	5
3032	2025	5000	1	12	5
3034	2025	3500	1	14.4	5
3035	2025	0	1	24.9	1
3036	2025	7500	1	21.2	5
3037	2025	2000	1	34.53	5
3038	2025	2200	1	15	5
3039	2025	8600	1	60	5
3041	2025	5895	1	12.45	2
3054	2025	1300	1	8	5
3055	2025	60	1	7.5	2
3056	2025	7000	1	16	2
3062	2025	0	1	153	4
3063	2025	5800	1	7.28	4
3064	2025	3550	1	6	6
3065	2025	1	1	86	4
3068	2025	0	1	33	4
3075	2025	900	1	20.4	4
3081	2025	0	1	23.4	2
3087	2025	4100	1	24	3
3088	2025	4620	1	13.69	2
3089	2025	4860	1	23.496	3
3090	2025	165	1	131.8	4
3091	2025	105	1	135	4
3092	2025	110	1	129.3	4
3095	2025	500	1	10.8	4
3099	2025	2000	1	2.7	1
3100	2025	6200	1	200	5
3115	2025	5200	1	6.5	1
3116	2025	300	1	4.62	1
3119	2025	2200	1	33.8	4
3124	2025	7000	1	28.85	5
3132	2025	4600	1	12	3
3133	2025	800	1	7.5	2
3134	2025	3620	1	17	2
3135	2025	5350	1	6.2	2
3136	2025	3050	1	6.704	2
3138	2025	7971	1	24	6
3139	2025	8502	1	24	6
3140	2025	6650	1	100	1
3141	2025	4200	1	6	1
3142	2025	1500	1	2.3	1
3143	2025	5340	1	55	1
3144	2025	500	1	2.4	1
3145	2025	3180	1	10.4	1
3148	2025	7800	1	23.902	5
3149	2025	7200	1	8.6	5
3150	2025	200	1	12	5
3151	2025	4000	1	9	5
3153	2025	4700	1	20	5
3154	2025	5200	1	20	5
3155	2025	7370	1	42.99	3
3159	2025	5500	1	18	5
3160	2025	6700	1	15	1
3161	2025	2680	1	6	2
3162	2025	2500	1	70	2
3164	2025	0	1	12	5
3166	2025	6200	1	14.5	5
3167	2025	0	1	3.09	5
3169	2025	7500	1	92	5
3170	2025	2523	1	14	3
3171	2025	7911	1	18	3
3173	2025	2000	1	20.5	4
3174	2025	3900	1	12.078	4
3175	2025	7230	1	2.12	2
3177	2025	5850	1	24.9	5
3178	2025	3400	1	6	2
3180	2025	5310	1	52.7	4
3181	2025	4500	1	2	4
3183	2025	4300	1	7.1	4
3184	2025	5035	1	12.504	3
3185	2025	4200	1	24	3
3186	2025	88.3	1	162	6
3189	2025	1200	1	15.4	5
3190	2025	6500	1	35.84	5
3191	2025	5000	1	4.3	5
3192	2025	6300	1	16	5
3194	2025	6000	1	25.8	5
3199	2025	6500	1	300.24	5
3202	2025	30	1	10.5	1
3204	2025	3510	1	25.2	4
3205	2025	0	1	4	5
3206	2025	6300	1	4.5	5
3207	2025	5600	1	6	7
3209	2025	1300	1	8.1	4
3211	2025	8050	1	16	5
3212	2025	2500	1	5.2	5
3214	2025	6900	1	12	1
3219	2025	5291.9792	1	72	7
3222	2025	1310	1	33.9	4
3223	2025	2600	1	8	4
3226	2025	7242	1	48.37	4
3227	2025	2200	1	8.2	3
3228	2025	7950	1	16	3
3229	2025	4200	1	8	5
3230	2025	6774	1	1.1	6
3232	2025	2000	1	13.26	7
3240	2025	6742	1	3.9	4
3579	2025	5000	1	160.5	4
3606	2025	4500	1	8.6	1
7	2026	4400	1	178	1
10	2026	4150	1	305	1
22	2026	4250	1	24	1
25	2026	1400	1	22	1
39	2026	5271.99999999999	1	512.7	1
41	2026	0	1	27.4	4
42	2026	490	1	53.06	1
43	2026	2660	1	23.253	2
55	2026	7234	1	20.5	1
78	2026	6325	1	20	1
79	2026	5061.46666666667	1	78	1
82	2026	2000	1	18	1
84	2026	5150	1	93	1
85	2026	2450	1	24	1
86	2026	4800	1	22.8	1
90	2026		1	8.5	1
94	2026	1900	1	24	1
115	2026	8540	1	345.8	2
116	2026	7337.39721954244	1	189.8	2
117	2026	6440	1	159	2
120	2026	1200	1	3	2
126	2026	3400	1	656.21	2
127	2026	0	1	4.3	3
142	2026	1310	1	43	2
164	2026	8142	1	12	1
204	2026	1070	1	24	2
209	2026	3545	1	24.7	2
212	2026	8442	1	35.518	1
226	2026	2380	1	400	2
234	2026	7682.6111424578	1	24.9	2
239	2026	5190	1	105	2
241	2026	3900	1	101.5	2
242	2026	5957.03337396161	1	24	2
248	2026	6750	1	6.72	5
272	2026	7521	1	332	2
273	2026	0	1	12	2
282	2026	0.05	1	121	4
325	2026	5075	1	20.5	3
355	2026	5100	1	54	3
382	2026	0	1	6	4
386	2026	6000	1	130	4
433	2026	6670	1	494.783	3
435	2026	7990	1	149.9	5
436	2026	2115	1	24	5
437	2026	3965	1	108	5
438	2026	2015	1	70.5	5
455	2026	7300	1	24.5	5
456	2026	7400	1	300	5
457	2026	7500	1	208.77	5
458	2026	7700	1	101	5
459	2026	5800	1	229	5
460	2026	4000	1	36	5
461	2026	0	1	6	5
483	2026	7300	1	23.6	5
487	2026	5200	1	24	5
497	2026	6450	1	172	5
506	2026	6013.91304347826	1	23	5
511	2026	6200	1	458	5
526	2026	0	1	8.001	5
533	2026	1688.2599362149	1	10	5
551	2026	7300	1	119.57	5
565	2026	6500	1	1200	6
580	2026	3775	1	200	6
582	2026	2440.21885999078	1	18	6
584	2026	6500	1	140	6
