NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v	EOTP	EURT	EUST	TURT	TUST	B	GAZ	MAZUT	PROCH	UGOL	PECH	KUZN	KAN	URAL
	2031			0	0			4800		95	2	32	3	1202	902.6	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0
	2031	417	417	1229.48510252092	583.2	1581.77	1200	2948.4055216329		94	2	32	3	323	905	0	1101.52667419586	285.733246445425	314.742792664214	138.991599348587	219.852742101614	534.595534765828	534.595534765828	0	0	0	0	0	0	0
	2031	20.5	16.7414435483871	104.0375	35.6828921042068	490	350	5075	1	92	3	32	3	325	909	0	81.001985451484	219.144983115061	17.7511787340519	193.721272156361	94.9234233566171	112.674602090669	112.53939256816	0.135209522508803	0	0	0	0	0	0
	2031	220	220	946.333789501872	539.779414869178	1070.8	1000	4301.51722500851		94	2	33	3	328	912	0	846.179432835321	308.638946523303	261.163928719979	131.598805121789	140.916000524411	402.079929244391	401.637641322222	0.44228792216883	0	0	0	0	0	0
	2031	90	90	331.033066594352	187.756910964411	320	320	3678.14518438169		93	2	33	3	327	913	0	293.764876013412	384.074159362208	112.827497804995	153.167667919007	49.0136537340823	161.841151539077	161.841151539077	0	0	0	0	0	0	0
	2031	16	11	45.7125756288239	45.7125756288239	406.5	260	2857.0359768015		10	2	33	3	329	917	0	31.7439530081577	381.786802942677	12.1194223317471	154.144026801902	62.659546894973	74.7789692267201	74.7789692267201	0	0	0	0	0	0	0
	2031	4	3	20.1093818005181	20.1093818005181	315	120	5027.34545012953		10	2	33	3	330	921	0	8.44979922279793	232.922073293277	1.96814475388601	164.840389714103	51.9247227599425	53.8928675138285	53.8928675138285	0	0	0	0	0	0	0
	2031	0	0	0	0	1063.7458		4800		95	2	33	3	331	923	0	0	0	0	160.444822731142	170.672506311996	170.672506311996	170.672506311996	0	0	0	0	0	0	0
	2031	12	9.517	40.5237752451126	40.5237752451126	277	252	3376.98127042605		10	3	33	3	1440	924	0	36.4078800641749	205.342767090988	7.47609483629449	173.203463203463	47.9773593073593	55.4534541436538	55.4534541436538	0	0	0	0	0	0	0
	2031	12	3.8	19.1060495371529	19.1060495371529	120	120	1592.17079476274		10	3	33	3	1441	924.2	0	16.2401421065799	162.937403969765	2.64612659494621	169.697222917188	20.3636667500625	23.0097933450088	23.0097933450088	0	0	0	0	0	0	0
	2031	6	2.87	20.3521712414167	20.3521712414168	190	170	3392.02854023612		10	3	33	3	1442	924.4	0	17.5028672676184	195.348848798039	3.41916497139414	146.36683604048	27.8096988476911	31.2288638190853	31.2288638190853	0	0	0	0	0	0	0
	2031	14	0.847	35.322	0			2523	1	89	3	33	3	3170	924.5	0	33.0974828999305	387.324010687688	12.8194498204683		0	12.8194498204683	12.8194498204683	0	0	0	0	0	0	0
	2031	2	1.611	14.4	0	10		7200	1	89	3	33	3	1266	924.7	0	13.824	270	3.73248	150	1.5	5.23248	5.23248	0	0	0	0	0	0	0
	2031	2204.9	2204.9	7293.08621157259	0	193.54	150	3307.6720992211		3	1	34	3	332	925	0	6783.70062813232	375.726452024517	2548.81576860464	175.101522816259	33.8891487258588	2582.7049173305	2582.44664683877	0.25827049173305	0	0	0	0	0	0
